[2025-06-14 18:27:25.148] [INFO] [claude-startup.sh:204] Initialized integrity manifest
[2025-06-14 18:27:25.575] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/user-profile.json
[2025-06-14 18:27:25.597] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/daemon-control.json
[2025-06-14 18:27:25.601] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/auto-memory/exit_type
[2025-06-14 18:27:25.607] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/context/auto-context.pid
[2025-06-14 18:27:25.628] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/context/auto-context-status.json
[2025-06-14 18:27:25.696] [SUCCESS] [claude-startup.sh:210] Consistency check passed: 23 files checked
[2025-06-14 18:39:45.519] [DEBUG] [claude-startup.sh:151] File validation passed: /home/nullrunner/claude-workspace/.claude/auto-memory/exit_type
[2025-06-14 18:39:45.526] [INFO] [claude-startup.sh:210] Starting consistency check (fix_corrupted=true)
[2025-06-14 18:39:45.553] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/sync-coordination/coordinator-state.json
[2025-06-14 18:39:45.560] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/sync-coordination/sync-daemon.pid
[2025-06-14 18:39:45.582] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/sync-coordination/sync-queue.json
[2025-06-14 18:39:45.605] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/integrity/manifest.json
[2025-06-14 18:39:45.628] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory-coordination/health-status.json
[2025-06-14 18:39:45.652] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/activity/current-session.json
[2025-06-14 18:39:45.676] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/sync/config.json
[2025-06-14 18:39:45.702] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory/intelligence-cache.json
[2025-06-14 18:39:45.724] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory/simplified-context.json
[2025-06-14 18:39:45.746] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory/session-history.json
[2025-06-14 18:39:45.771] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory/enhanced-context.json
[2025-06-14 18:39:45.793] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory/unified-context.json
[2025-06-14 18:39:45.814] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/auto-projects/current.json
[2025-06-14 18:39:45.836] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/settings.local.json
[2025-06-14 18:39:45.858] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/claude-memory-context.json
[2025-06-14 18:39:45.882] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/patterns.json
[2025-06-14 18:39:45.904] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/learnings.json
[2025-06-14 18:39:45.927] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/context.json
[2025-06-14 18:39:45.949] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/cross-project.json
[2025-06-14 18:39:45.971] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/user-profile.json
[2025-06-14 18:39:45.993] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/daemon-control.json
[2025-06-14 18:39:46.000] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/context/auto-context.pid
[2025-06-14 18:39:46.025] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/context/auto-context-status.json
[2025-06-14 18:39:46.111] [SUCCESS] [claude-startup.sh:210] Consistency check passed: 23 files checked
[2025-06-14 18:51:46.546] [DEBUG] [claude-startup.sh:151] File validation passed: /home/nullrunner/claude-workspace/.claude/auto-memory/exit_type
[2025-06-14 18:51:46.555] [INFO] [claude-startup.sh:210] Starting consistency check (fix_corrupted=true)
[2025-06-14 18:51:46.584] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/sync-coordination/coordinator-state.json
[2025-06-14 18:51:46.590] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/sync-coordination/sync-daemon.pid
[2025-06-14 18:51:46.611] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/sync-coordination/sync-queue.json
[2025-06-14 18:51:46.633] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/integrity/manifest.json
[2025-06-14 18:51:46.654] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory-coordination/health-status.json
[2025-06-14 18:51:46.676] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/activity/current-session.json
[2025-06-14 18:51:46.698] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/sync/config.json
[2025-06-14 18:51:46.720] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory/intelligence-cache.json
[2025-06-14 18:51:46.741] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory/simplified-context.json
[2025-06-14 18:51:46.762] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory/session-history.json
[2025-06-14 18:51:46.784] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory/enhanced-context.json
[2025-06-14 18:51:46.805] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/memory/unified-context.json
[2025-06-14 18:51:46.828] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/auto-projects/current.json
[2025-06-14 18:51:46.850] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/settings.local.json
[2025-06-14 18:51:46.873] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/claude-memory-context.json
[2025-06-14 18:51:46.898] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/patterns.json
[2025-06-14 18:51:46.921] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/learnings.json
[2025-06-14 18:51:46.945] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/context.json
[2025-06-14 18:51:46.968] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/cross-project.json
[2025-06-14 18:51:46.991] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/user-profile.json
[2025-06-14 18:51:47.013] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/intelligence/enhanced/daemon-control.json
[2025-06-14 18:51:47.020] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/context/auto-context.pid
[2025-06-14 18:51:47.042] [DEBUG] [state-integrity-manager.sh:410] File validation passed: /home/nullrunner/claude-workspace/.claude/context/auto-context-status.json
[2025-06-14 18:51:47.122] [SUCCESS] [claude-startup.sh:210] Consistency check passed: 23 files checked
